SRS,host_subject_id
SRS1719576,P010096
SRS1719577,P013960
SRS1719578,P022130
SRS1719579,E033156
SRS1719580,P020604
SRS1719581,P009219
SRS1719582,P013823
SRS1719583,P005279
SRS1719584,T014827
SRS1719585,P018832
SRS1735436,E007303
SRS1735437,E020808
SRS1735438,P005558
SRS1735439,P008543
SRS1735440,E007743
SRS1735441,P020631
SRS1735442,E012971
SRS1735443,T021613
SRS1735444,P011108
SRS1735445,E030828
SRS1735446,P010322
SRS1735447,T000094
SRS1735448,E024646
SRS1735449,T012389
SRS1735450,T019853
SRS1735451,T014197
SRS1735452,T003950
SRS1735453,P005558
SRS1735454,T006266
SRS1735455,P016497
SRS1735456,E009676
SRS1735457,E017049
SRS1735458,P011108
SRS1735459,T017419
SRS1735460,E004781
SRS1735461,P004230
SRS1735462,E030828
SRS1735463,T000461
SRS1735464,E006871
SRS1735465,E012115
SRS1735466,E034885
SRS1735467,P004230
SRS1735468,E007743
SRS1735469,P008939
SRS1735470,T006266
SRS1735471,P018832
SRS1735472,T022883
SRS1735473,E007303
SRS1735474,E002473
SRS1735475,T008246
SRS1735476,T016811
SRS1735477,T000094
SRS1735478,T002534
SRS1735479,E015378
SRS1735480,E002681
SRS1735481,P005279
SRS1735482,P016803
SRS1735483,T003355
SRS1735484,E022083
SRS1735485,T000094
SRS1735486,T000461
SRS1735487,E004781
SRS1735488,E030828
SRS1735489,T000094
SRS1735490,P003435
SRS1735491,T007748
SRS1735492,E023535
SRS1735493,E022960
SRS1735494,E004080
SRS1735495,T002534
SRS1735496,E004781
SRS1735497,P001363
SRS1735498,T000461
SRS1735499,T003950
SRS1735500,T021613
SRS1735501,E002473
SRS1735502,E004781
SRS1735503,T009280
SRS1735504,P013823
SRS1735505,E004934
SRS1735506,P005279
SRS1735507,T005999
SRS1735508,T005999
SRS1735509,T019852
SRS1735510,E002338
SRS1735511,E016148
SRS1735512,T023390
SRS1735513,E015208
SRS1735514,P004230
SRS1735515,P019475
SRS1735516,T006288
SRS1735517,E008437
SRS1735518,T007748
SRS1735519,E002473
SRS1735520,E025671
SRS1735521,T016548
SRS1735522,E029796
SRS1735523,P015163
SRS1735524,T000272
SRS1735525,E022083
SRS1735526,T014827
SRS1735527,E003393
SRS1735528,T008025
SRS1735529,T005643
SRS1735530,T012312
SRS1735531,T016811
SRS1735532,T000094
SRS1735533,E007303
SRS1735534,E002338
SRS1735535,E004934
SRS1735536,T009909
SRS1735537,T026211
SRS1735538,T019021
SRS1735539,T007750
SRS1735540,E020808
SRS1735541,E007303
SRS1735542,T006288
SRS1735543,E004781
SRS1735544,T009909
SRS1735546,T019031
SRS1735547,T003950
SRS1735548,P020631
SRS1735549,P008579
SRS1735550,T016812
SRS1735551,E002681
SRS1735552,E008241
SRS1735553,T007748
SRS1735554,E006871
SRS1735555,T009275
SRS1735556,T018343
SRS1735557,E002825
SRS1735558,P009291
SRS1735559,E006871
SRS1735560,T009275
SRS1735561,E019349
SRS1735562,E002338
SRS1735563,E002338
SRS1735564,E017049
SRS1735565,T014575
SRS1735566,E002338
SRS1735567,T003745
SRS1735568,T008025
SRS1735569,E009676
SRS1735570,E015378
SRS1735571,E004071
SRS1735572,P020799
SRS1735573,E008437
SRS1735574,P019475
SRS1735575,E018574
SRS1735576,E004080
SRS1735577,E020808
SRS1735578,E025830
SRS1735579,P004230
SRS1735580,P008579
SRS1735581,E004080
SRS1735582,E019187
SRS1735583,T012312
SRS1735584,E005804
SRS1735585,E033156
SRS1735586,P010322
SRS1735587,P013701
SRS1735588,E009667
SRS1735589,E024646
SRS1735590,E019349
SRS1735591,P013960
SRS1735592,E023535
SRS1735593,E019793
SRS1735594,P007649
SRS1735595,E025912
SRS1735596,E004781
SRS1735597,E019349
SRS1735598,E020781
SRS1735599,T016234
SRS1735600,P000648
SRS1735601,E007743
SRS1735602,T004341
SRS1735603,E003393
SRS1735604,E023839
SRS1735605,P015163
SRS1735606,T013832
SRS1735607,P004847
SRS1735608,E009020
SRS1735609,T004341
SRS1735610,E017049
SRS1735611,P008633
SRS1735612,T012983
SRS1735613,E008241
SRS1735614,T014825
SRS1735615,T008247
SRS1735616,E023535
SRS1735617,E012393
SRS1735618,T005643
SRS1735619,P003825
SRS1735620,E008241
SRS1735621,T002534
SRS1735622,T006266
SRS1735623,T019852
SRS1735624,E008241
SRS1735625,T017419
SRS1735626,T008246
SRS1735627,E020781
SRS1735628,T008247
SRS1735629,P009880
SRS1735630,E018421
SRS1735631,T019850
SRS1735632,E015378
SRS1735633,E029310
SRS1735634,E013394
SRS1735635,P020604
SRS1735636,E008643
SRS1735637,T005507
SRS1735638,P009880
SRS1735639,E018574
SRS1735640,P010936
SRS1735641,E008643
SRS1735642,E002681
SRS1735643,E025912
SRS1735644,P000648
SRS1735645,P010936
SRS1735646,E002338
SRS1735647,P021772
SRS1735648,E022960
SRS1735649,T012138
SRS1735650,T013828
SRS1735651,P021772
SRS1735652,E017715
SRS1735653,P003173
SRS1735654,P005279
SRS1735655,P010936
SRS1735656,E014953
SRS1735657,P017671
SRS1735658,T014806
SRS1735659,P014839
SRS1735660,P008543
SRS1735661,P000648
SRS1735662,T019852
SRS1735663,P016497
SRS1735664,T012389
SRS1735665,P007649
SRS1735666,P004113
SRS1735667,E007980
SRS1735668,P008119
SRS1735669,T003355
SRS1735670,P010936
SRS1735671,T012983
SRS1735672,E016681
SRS1735673,T025415
SRS1735674,T009717
SRS1735675,T005643
SRS1735676,T007404
SRS1735677,T014197
SRS1735678,T012121
SRS1735679,P019854
SRS1735680,T019850
SRS1735681,T010520
SRS1735682,T003353
SRS1735683,P021772
SRS1735684,P007649
SRS1735685,T010520
SRS1735686,E002473
SRS1735687,P005558
SRS1735688,P022222
SRS1735689,T010520
SRS1735690,P017743
SRS1735691,P019222
SRS1735692,P010322
SRS1735693,T017394
SRS1735694,P007550
SRS1735695,T024121
SRS1735696,P020604
SRS1735697,P010096
SRS1735698,E017715
SRS1735699,E023681
SRS1735700,T019031
SRS1735701,P010936
SRS1735702,T024121
SRS1735703,E023839
SRS1735704,T012389
SRS1735705,P019980
SRS1735706,P003173
SRS1735707,E016870
SRS1735708,P014839
SRS1735709,T014801
SRS1735710,T000272
SRS1735711,P003173
SRS1735712,E012124
SRS1735713,T019021
SRS1735714,T017394
SRS1735715,P007649
SRS1735716,E008357
SRS1735717,P004230
SRS1735718,T012983
SRS1735719,P005135
SRS1735720,P005279
SRS1735721,T018343
SRS1735722,E018421
